"tract","Name","Household_Income_at_Age_35_rP_gP_pall","Incarceration_Rate_rP_gP_pall","Teenage_Birth_Rate_women_only_rP_gP_pall","Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall","Fraction_Married_at_Age_35_rP_gP_pall","Spouse's_Income_at_Age_35_rP_gP_pall","Employment_Rate_at_Age_35_rP_gP_pall","High_School_Graduation_Rate_rP_gP_pall","College_Graduation_Rate_rP_gP_pall","Hours_Worked_Per_Week_at_Age_35_rP_gP_pall","Hourly_Wage_$/hour_at_Age_35_rP_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall","Household_Income_for_U.S._Natives_rP_gP_pall","Household_Income_for_Immigrants_rP_gP_pall","Individual_Income_for_U.S._Natives_rP_gP_pall","Individual_Income_for_Immigrants_rP_gP_pall","Number_of_Children_rP_gP_pall"
6037113233,"Canoga Park, Los Angeles, CA",38101,0.0099,,27743,0.355,38044,0.7185,,,,,0.1699,,0.1921,,0.748,0.1654,39084,29936,,,,,1855
6037113234,"Canoga Park, Los Angeles, CA",38988,0.0149,,29070,0.3466,40487,0.7264,,,,,0.1602,,0.2223,,0.7811,0.2127,40184,29923,,,,,1155
6037113235,"Los Angeles County, CA",42520,0,,29388,0.4038,41496,0.7407,,,,,0.2112,,0.2621,,0.7658,0.2139,40094,29733,,,,,293
6037113237,"Chatsworth, Los Angeles, CA",53211,0.0061,,36965,0.4763,42530,0.7423,,,,,0.3779,,0.3945,,0.7383,0.2243,50886,35815,,,,,669
6037113301,"Northridge, Los Angeles, CA",67997,0.003,,41511,0.5189,52259,0.7519,,,,,0.4448,,0.4026,,0.6932,0.1393,59594,39022,,,,,465
6037113303,"Chatsworth, Los Angeles, CA",47288,0.0035,,33320,0.4278,41323,0.7468,,,,,0.2559,,0.3113,,0.7395,0.244,45244,32443,,,,,938
6037113321,"Chatsworth, Los Angeles, CA",45979,0.0036,,32123,0.4155,41802,0.7508,,,,,0.2431,,0.2388,,0.7406,0.1685,46473,33660,,,,,1336
6037113322,"Chatsworth, Los Angeles, CA",60655,0.0005,,40380,0.4893,43612,0.7763,,,,,0.4143,,0.4335,,0.6944,0.1702,60237,41201,,,,,838
6037113401,"Canoga Park, Los Angeles, CA",49022,0.0073,,34539,0.3817,47178,0.7414,,,,,0.2644,,0.276,,0.7759,0.2534,50323,35804,,,,,1286
6037113421,"Canoga Park, Los Angeles, CA",39627,0.0059,,28227,0.3665,41441,0.7257,,,,,0.1732,,0.1571,,0.7622,0.2164,38879,28287,,,,,1697
6037113422,"Canoga Park, Los Angeles, CA",44132,0.0028,,33176,0.4245,37034,0.7809,,,,,0.2003,,0.2595,,0.7311,0.2107,43819,33373,,,,,1444
6037115101,"Northridge, Los Angeles, CA",57214,0,,38786,0.4753,49420,0.7634,,,,,0.3639,,0.384,,0.7352,0.2165,53984,37031,,,,,1101
6037115103,"Northridge, Los Angeles, CA",43383,,,35282,0.2766,,0.745,,,,,0.2569,,0.3933,,0.4737,0.0446,,,,,,,232
6037115104,"Northridge, Los Angeles, CA",48987,0.0028,,33270,0.4476,39353,0.6526,,,,,0.2839,,0.3321,,0.7354,0.2376,44227,31376,,,,,335
6037115201,"Northridge, Los Angeles, CA",48440,0.0126,,33770,0.4077,42895,0.7338,,,,,0.2621,,0.3078,,0.7574,0.1979,48876,33964,,,,,882
6037115202,"Northridge, Los Angeles, CA",41845,0.0116,,30949,0.3869,40690,0.7274,,,,,0.1932,,0.2786,,0.7467,0.239,41496,31790,,,,,923
6037115301,"Northridge, Los Angeles, CA",51768,0.0028,,36349,0.4293,43608,0.7795,,,,,0.3386,,0.3477,,0.7933,0.2281,49880,35159,,,,,669
6037115302,"Northridge, Los Angeles, CA",35913,0.0141,,26443,0.3543,33842,0.7547,,,,,0.1166,,0.1507,,0.8293,0.2975,35643,27352,,,,,1888
6037115401,"Northridge, Los Angeles, CA",43719,0.0084,,29965,0.4125,40561,0.7341,,,,,0.2386,,0.2535,,0.7438,0.1862,42981,30569,,,,,1417
6037115403,"Northridge, Los Angeles, CA",41620,0.0059,,31335,0.3518,37979,0.7469,,,,,0.1673,,0.2256,,0.7893,0.1997,41640,30947,,,,,878
6037115404,"Northridge, Los Angeles, CA",42047,0.0046,,32590,0.3623,36950,0.7808,,,,,0.1656,,0.2612,,0.8214,0.2292,42385,33598,,,,,802
6037117101,"North Hills, Los Angeles, CA",43691,0.0163,,31681,0.3894,40163,0.7432,,,,,0.2208,,0.2501,,0.7832,0.1972,44195,32890,,,,,1212
6037117102,"North Hills, Los Angeles, CA",46134,0.0106,,32175,0.4091,49711,0.7653,,,,,0.252,,0.2587,,0.8087,0.2704,46070,33599,,,,,664
6037117201,"North Hills, Los Angeles, CA",38404,0.0219,,28663,0.3664,38993,0.7089,,,,,0.1652,,0.1939,,0.8,0.1999,40181,30640,,,,,1046
6037117202,"North Hills, Los Angeles, CA",50703,0.0022,,34988,0.4111,46295,0.7991,,,,,0.2714,,0.2961,,0.7414,0.2113,50501,34729,,,,,594
6037117301,"North Hills, Los Angeles, CA",46749,0.0021,,34491,0.4134,36876,0.7759,,,,,0.2154,,0.2766,,0.8085,0.25,46875,34870,,,,,850
6037117302,"Northridge, Los Angeles, CA",46825,0.0058,,32164,0.4352,44014,0.731,,,,,0.2778,,0.2815,,0.7642,0.2646,47412,32728,,,,,1016
6037117303,"North Hills, Los Angeles, CA",45976,0.0211,,32563,0.3927,43630,0.762,,,,,0.2283,,0.2605,,0.7874,0.291,45155,33186,,,,,726
6037117404,"North Hills, Los Angeles, CA",45343,0.0047,,33369,0.3952,45558,0.7463,,,,,0.2698,,0.2644,,0.736,0.2379,43816,32777,,,,,929
6037117405,"North Hills, Los Angeles, CA",31087,0.0182,,24594,0.3019,31971,0.7199,,,,,0.0435,,0.1049,,0.7965,0.2281,31707,25956,,,,,1554
6037117407,"North Hills, Los Angeles, CA",27058,0.0183,,20584,0.2502,33190,0.6831,,,,,0.0475,,0.0739,,0.8332,0.2231,28179,21333,,,,,1550
6037117408,"North Hills, Los Angeles, CA",32009,0.0123,,25355,0.3006,37581,0.6934,,,,,0.0883,,0.144,,0.8218,0.2479,34009,27962,,,,,1207
6037117510,"North Hills, Los Angeles, CA",33898,0.0146,,25605,0.3145,37045,0.7391,,,,,0.1061,,0.1572,,0.7935,0.214,37177,28227,,,,,1623
6037117520,"North Hills, Los Angeles, CA",32010,0.0044,,25218,0.2955,32071,0.7063,,,,,0.0725,,0.1302,,0.7529,0.2091,32718,25691,,,,,1518
6037117530,"North Hills, Los Angeles, CA",35900,0.0206,,27421,0.322,36096,0.7409,,,,,0.1326,,0.181,,0.8125,0.2189,37264,29477,,,,,2112
6037119001,"Pacoima, Los Angeles, CA",45316,0.0132,,32899,0.3934,40004,0.7945,,,,,0.2058,,0.2396,,0.8426,0.3209,46357,33821,,,,,1030
6037119002,"Arleta, Los Angeles, CA",38600,0.0126,,29862,0.3272,36092,0.762,,,,,0.1231,,0.1792,,0.8459,0.3486,40362,31494,,,,,2024
6037119201,"Arleta, Los Angeles, CA",37119,0.0151,,27110,0.3305,40116,0.723,,,,,0.1406,,0.1714,,0.8321,0.2888,38836,29182,,,,,1246
6037119202,"Arleta, Los Angeles, CA",34566,0.0158,,26917,0.328,31460,0.731,,,,,0.0944,,0.1735,,0.8503,0.3381,37189,29678,,,,,1429
6037119310,"Panorama City, Los Angeles, CA",38144,0.0154,,29012,0.3251,39842,0.746,,,,,0.1509,,0.195,,0.7914,0.2427,38708,29788,,,,,1058
6037119320,"Panorama City, Los Angeles, CA",37160,0.0275,,27520,0.3729,40836,0.7065,,,,,0.1375,,0.1844,,0.7884,0.1959,35451,26787,,,,,1323
6037119340,"Panorama City, Los Angeles, CA",23646,0.0289,,18211,0.2264,31139,0.5985,,,,,0.0348,,0.0557,,0.8081,0.2134,26566,21868,,,,,1357
6037119341,"Panorama City, Los Angeles, CA",37150,0.0121,,29579,0.3221,35162,0.7221,,,,,0.1572,,0.1958,,0.824,0.2373,38847,32170,,,,,1004
6037119342,"Panorama City, Los Angeles, CA",33643,0.0092,,26180,0.3085,35426,0.7567,,,,,0.1106,,0.1222,,0.8223,0.2331,34526,27315,,,,,1174
6037119400,"Arleta, Los Angeles, CA",39380,0.0103,,29883,0.381,36436,0.7507,,,,,0.135,,0.1945,,0.8472,0.3038,40698,31143,,,,,1462
6037119700,"Panorama City, Los Angeles, CA",47919,0.0062,,34625,0.412,41745,0.7979,,,,,0.2334,,0.2801,,0.8356,0.2986,49564,35437,,,,,1237
6037119800,"Pacoima, Los Angeles, CA",40232,0.013,,29723,0.3694,41540,0.7376,,,,,0.1587,,0.1962,,0.8192,0.3164,42187,31302,,,,,1802
6037119900,"Panorama City, Los Angeles, CA",44345,0.0122,,32409,0.3994,40965,0.7617,,,,,0.1933,,0.2617,,0.8382,0.3006,47382,34755,,,,,1393
6037120010,"Van Nuys, Los Angeles, CA",34312,0.0148,,27187,0.3047,32812,0.7528,,,,,0.1059,,0.153,,0.8329,0.293,35521,28076,,,,,1211
6037120020,"Panorama City, Los Angeles, CA",33490,0.0081,,26556,0.3177,35405,0.7069,,,,,0.1239,,0.1454,,0.8137,0.2358,36119,28378,,,,,1501
6037120030,"Panorama City, Los Angeles, CA",31198,0.0081,,24241,0.3457,31535,0.7308,,,,,0.0876,,0.1072,,0.8163,0.2733,34735,27283,,,,,1183
6037120103,"Los Angeles County, CA",29189,0.0141,,22584,0.269,28949,0.6652,,,,,0.0418,,0.0913,,0.8277,0.1976,31241,25784,,,,,1162
6037120104,"Panorama City, Los Angeles, CA",33713,0.011,,26719,0.257,39820,0.7273,,,,,0.0766,,0.1457,,0.8115,0.2019,35851,29329,,,,,817
6037120105,"Panorama City, Los Angeles, CA",39536,0.0206,,27203,0.407,39107,0.7143,,,,,0.1821,,0.2064,,0.7923,0.2601,41141,28639,,,,,990
6037120106,"Panorama City, Los Angeles, CA",31304,0.0078,,23507,0.3198,32239,0.7005,,,,,0.0739,,0.1095,,0.8187,0.2093,33645,25525,,,,,1635
6037120107,"Panorama City, Los Angeles, CA",32756,0.0199,,25664,0.3357,33744,0.714,,,,,0.1109,,0.1702,,0.8109,0.2245,34135,27454,,,,,1413
6037120108,"Panorama City, Los Angeles, CA",33199,0.021,,25925,0.3201,36182,0.7164,,,,,0.123,,0.137,,0.8445,0.2219,33835,26514,,,,,1748
6037120300,"Panorama City, Los Angeles, CA",41278,0.0061,,31823,0.3444,39278,0.7836,,,,,0.1773,,0.2333,,0.8521,0.2973,42129,32798,,,,,1522
6037120400,"Panorama City, Los Angeles, CA",36732,0.0192,,28922,0.3261,34951,0.7328,,,,,0.1397,,0.1798,,0.8236,0.3149,37374,30395,,,,,1662
6037121010,"Sun Valley, Los Angeles, CA",41601,0.0047,,31599,0.3674,35144,0.7712,,,,,0.1715,,0.2136,,0.7977,0.3259,42316,32934,,,,,1348
6037121020,"North Hollywood, Los Angeles, CA",37336,0,,27413,0.355,38453,0.7415,,,,,0.1286,,0.149,,0.8411,0.2902,39145,29469,,,,,1246
6037121101,"Sun Valley, Los Angeles, CA",38322,0.0064,,27772,0.402,41129,0.7222,,,,,0.1385,,0.1749,,0.8523,0.2823,40994,29922,,,,,883
6037121102,"Sun Valley, Los Angeles, CA",39871,0.0118,,29120,0.365,39373,0.7256,,,,,0.1538,,0.212,,0.8249,0.3293,40882,30472,,,,,753
6037121210,"Sun Valley, Los Angeles, CA",43361,0.0068,,31240,0.4081,36454,0.7923,,,,,0.1469,,0.2119,,0.8194,0.2973,44086,32317,,,,,895
6037121221,"Sun Valley, Los Angeles, CA",37707,0.0109,,27908,0.3381,38235,0.7196,,,,,0.1334,,0.2053,,0.7988,0.3182,39016,29696,,,,,723
6037121222,"Sun Valley, Los Angeles, CA",37291,0.0176,,28216,0.3671,37791,0.7318,,,,,0.1188,,0.1701,,0.8214,0.2841,40081,31053,,,,,1565
6037121600,"North Hollywood, Los Angeles, CA",41107,0.0065,,28103,0.437,40245,0.7022,,,,,0.2083,,0.2037,,0.8269,0.2991,40627,28523,,,,,754
6037121801,"North Hollywood, Los Angeles, CA",35111,0.013,,27833,0.3166,32921,0.7434,,,,,0.092,,0.1604,,0.81,0.24,37534,30590,,,,,1266
6037121802,"North Hollywood, Los Angeles, CA",40899,0.0039,,30248,0.3698,37816,0.7736,,,,,0.1762,,0.1996,,0.8255,0.3079,41217,30803,,,,,1133
6037121900,"North Hollywood, Los Angeles, CA",36278,0.0085,,26839,0.3573,34387,0.7261,,,,,0.1237,,0.1686,,0.8598,0.366,37436,27782,,,,,1332
6037122000,"North Hollywood, Los Angeles, CA",39385,0.0106,,29265,0.3621,35406,0.6968,,,,,0.1674,,0.2122,,0.8346,0.3237,40326,30580,,,,,1308
6037122120,"Sun Valley, Los Angeles, CA",38799,0.0128,,29682,0.3512,38127,0.76,,,,,0.1294,,0.1799,,0.841,0.3369,41325,32301,,,,,1661
6037122121,"Sun Valley, Los Angeles, CA",37325,0.0121,,27477,0.3533,38162,0.7248,,,,,0.1233,,0.1636,,0.8172,0.2635,38886,29144,,,,,1081
6037122122,"Sun Valley, Los Angeles, CA",35090,0.0207,,25239,0.3675,35479,0.7185,,,,,0.1215,,0.154,,0.8101,0.2759,38900,27454,,,,,911
6037122200,"Sun Valley, Los Angeles, CA",36725,0.0166,,28191,0.3253,34225,0.7293,,,,,0.1329,,0.1759,,0.8448,0.3333,38649,29280,,,,,1313
6037122410,"North Hollywood, Los Angeles, CA",30940,0.0232,,23658,0.2803,40005,0.652,,,,,0.1174,,0.1298,,0.8521,0.2301,34779,27312,,,,,1527
6037122420,"North Hollywood, Los Angeles, CA",36628,0.0102,,28787,0.333,33938,0.7497,,,,,0.1148,,0.1692,,0.8565,0.3536,39332,31091,,,,,1629
6037123010,"Sun Valley, Los Angeles, CA",33051,0.0032,,26136,0.2734,35443,0.7347,,,,,0.0959,,0.1316,,0.8496,0.3551,35290,28054,,,,,1654
6037123020,"Sun Valley, Los Angeles, CA",34762,0.0116,,25562,0.3224,40140,0.7039,,,,,0.0851,,0.1154,,0.8503,0.383,36201,27379,,,,,1109
6037123103,"North Hollywood, Los Angeles, CA",41241,0.0025,,30114,0.4365,37618,0.7944,,,,,0.1678,,0.1808,,0.8028,0.2584,42178,31515,,,,,1236
6037123104,"North Hollywood, Los Angeles, CA",38381,0.0077,,27918,0.3737,37126,0.7569,,,,,0.156,,0.1704,,0.8067,0.2633,38746,29046,,,,,1332
6037123203,"North Hollywood, Los Angeles, CA",28635,0.0185,,21024,0.3167,35273,0.6664,,,,,0.0768,,0.0854,,0.8389,0.2832,30819,23232,,,,,1571
6037123204,"North Hollywood, Los Angeles, CA",35038,0.0189,,28407,0.2854,33262,0.7685,,,,,0.1042,,0.1655,,0.8194,0.2434,37736,30896,,,,,1210
6037123205,"North Hollywood, Los Angeles, CA",33779,0.0091,,26193,0.2975,37618,0.6945,,,,,0.0991,,0.166,,0.8426,0.2905,36456,28764,,,,,947
6037123206,"North Hollywood, Los Angeles, CA",37609,0.0131,,28659,0.3283,39242,0.7419,,,,,0.1394,,0.1486,,0.8406,0.3014,38340,29768,,,,,1058
6037123301,"North Hollywood, Los Angeles, CA",46016,0.0052,,33828,0.3784,44817,0.777,,,,,0.2459,,0.2854,,0.8241,0.2631,48825,36121,,,,,1387
6037123303,"North Hollywood, Los Angeles, CA",36259,0.0076,,27800,0.3244,37140,0.7,,,,,0.1225,,0.1773,,0.8645,0.1948,37018,28346,,,,,1095
6037123304,"North Hollywood, Los Angeles, CA",31830,0.0089,,24016,0.3249,35218,0.6935,,,,,0.1017,,0.1462,,0.831,0.2562,33269,25193,,,,,1236
6037123410,"North Hollywood, Los Angeles, CA",35684,0.0078,,26602,0.3533,34111,0.7239,,,,,0.1098,,0.1483,,0.8622,0.2763,36393,26733,,,,,1429
6037123420,"North Hollywood, Los Angeles, CA",41540,0.0081,,29117,0.4382,36448,0.7358,,,,,0.1759,,0.1873,,0.825,0.2517,43152,30339,,,,,1524
6037123510,"Van Nuys, Los Angeles, CA",40180,0.0088,,30264,0.3684,38665,0.7169,,,,,0.1756,,0.2384,,0.8121,0.2339,41117,31584,,,,,1504
6037123520,"Van Nuys, Los Angeles, CA",34268,0.0057,,28012,0.2879,28994,0.6929,,,,,0.1148,,0.2149,,0.8537,0.2486,37095,30754,,,,,966
6037123601,"Valley Glen, Los Angeles, CA",44411,0.0142,,31667,0.4283,38365,0.7304,,,,,0.2082,,0.2609,,0.7884,0.2438,44022,31187,,,,,1215
